gene,shap_importance
MYC,0.61040974
MTHFD2,0.44630584
CKS2,0.30193385
CDK1,0.28756714
CCNB1,0.2747785
GENE00366,0.24351075
GENE01040,0.21444081
BIRC5,0.1948111
IFNG,0.17892523
TOP2A,0.17660205
GENE21996,0.176424
EIF4EBP1,0.17326008
GENE27844,0.17078198
GENE25382,0.17012121
GENE16552,0.15959233
GENE12385,0.15532865
RRM2,0.1480705
GENE28836,0.1378548
GENE07636,0.13533205
RPS6,0.1334892
GENE17319,0.10436417
GENE04086,0.1030306
GENE29602,0.099800244
GENE21303,0.099112675
GENE02570,0.097600475
GENE11630,0.09685476
GENE02327,0.09387322
GENE05838,0.09175707
GENE16046,0.08828415
GENE24030,0.087336786
GENE12708,0.08394052
GENE20963,0.08378593
GENE25631,0.082937285
GENE12499,0.08284081
GENE21300,0.08133065
CD19,0.07737091
GENE04065,0.07553373
GENE06065,0.07442182
GENE20359,0.07347123
GENE20790,0.071005546
GENE01265,0.07074778
CD79A,0.06974652
GENE04164,0.067455694
GENE14070,0.06638558
GENE26849,0.06601539
GENE04987,0.06209059
GENE02189,0.06204247
GENE17714,0.05931856
GENE15275,0.05915838
GENE06327,0.059107266
GENE28646,0.05781535
GENE19925,0.057566486
GENE28588,0.05642245
GENE15221,0.05596764
AURKA,0.054859646
GENE16759,0.054737903
GENE04977,0.05124366
GENE20354,0.05039276
GENE07350,0.048978943
GENE08741,0.048587512
GENE25801,0.048436753
GENE21043,0.04384058
GENE08099,0.04108312
PKM,0.03834095
GENE07258,0.038164124
GENE19711,0.037596907
GENE06270,0.036656547
GENE16873,0.03656118
GENE07405,0.03420837
PAX5,0.03392049
GENE12341,0.03339604
IL6,0.033000357
GENE04136,0.032642063
GENE01244,0.032315273
GENE16819,0.031432834
GENE11500,0.031236604
TYMS,0.03111009
GENE24816,0.029682284
GENE12012,0.028981574
GENE29689,0.027089668
GENE28911,0.026959365
GENE20948,0.026917003
GENE18010,0.026147855
GENE17796,0.026046483
LDHA,0.024793457
GENE16640,0.024792325
GENE22326,0.024720903
GENE25091,0.022046236
GENE24345,0.021381399
GENE15500,0.020888817
GENE29647,0.020471584
GENE26380,0.019886063
GENE03931,0.01950078
GENE12401,0.01814894
GENE07900,0.017516637
GENE18009,0.01719589
GENE04555,0.015236429
GENE28185,0.013472236
GENE11549,0.011464895
GENE24160,0.010881564
